Level,Size,MapWidth,MapHeight,CoinsTotal,CoinsCollected,TimeGiven,TimeUsed,TimeLeft,Distance,CompletionRate
1,0.75,768,450,0,10,15.5246164728135,8.077,7.45964947281338,94.8079452514648,0
2,0.92857142857143,950,557,0,26,48.9218514609372,20.203,28.7280284609345,89.5273132324219,0
3,1.10714285714286,1133,664,0,29,51.1472012497164,19.54,31.6273325527445,69.8584594726563,0
4,1.28571428571429,1316,771,0,32,65.8978328840515,25.534,40.3802678840496,13.9924736022949,0
5,1.46428571428571,1499,878,0,38,67.2799555228891,29.761,37.5161798562175,24.9987049102783,0
6,1.64285714285714,1682,985,0,34,77.9510852201745,43.095,34.8682282201726,28.1498928070068,0
7,1.82142857142857,1865,1092,0,36,87.5987160331073,39.878,47.7203160331058,13.4645118713379,0
1,0.75,768,450,0,8,12,11.903,0.10327799999998,15.2985305786133,0
